date,open,high,low,close,adj_close,volume,dividend
2022-11-16,1.0,1.0,1.0,1.0,1.0,0,0.0
2022-11-18,1.0003,1.0003,1.0003,1.0003,1.0003,0,0.0
2022-11-25,0.9891,0.9891,0.9891,0.9891,0.9891,0,0.0
2022-11-28,0.9855,0.9855,0.9855,0.9855,0.9855,0,0.0
2022-11-29,0.98,0.994,0.975,0.981,0.981,45757600,0.0
2022-11-30,0.981,0.992,0.972,0.979,0.979,31035700,0.0
2022-12-01,0.986,1.004,0.986,0.995,0.995,76098100,0.0
2022-12-02,0.996,1.019,0.994,1.006,1.006,60559000,0.0
2022-12-05,1.008,1.008,0.968,0.98,0.98,9928500,0.0
2022-12-06,0.976,0.984,0.956,0.971,0.971,6328000,0.0
2022-12-07,0.97,0.987,0.965,0.977,0.977,4756200,0.0
2022-12-08,0.968,1.0,0.968,0.988,0.988,5261300,0.0
2022-12-09,0.987,0.987,0.967,0.974,0.974,3601000,0.0
2022-12-12,0.97,0.97,0.954,0.961,0.961,5057800,0.0
2022-12-13,0.961,0.961,0.932,0.935,0.935,12875600,0.0
2022-12-14,0.943,0.943,0.923,0.928,0.928,4758900,0.0
2022-12-15,0.932,0.941,0.922,0.937,0.937,4763900,0.0
2022-12-16,0.934,0.934,0.913,0.918,0.918,4914700,0.0
2022-12-19,0.918,0.933,0.911,0.912,0.912,3306200,0.0
2022-12-20,0.911,0.92,0.905,0.918,0.918,3865100,0.0
2022-12-21,0.918,0.918,0.89,0.894,0.894,3101700,0.0
2022-12-22,0.896,0.905,0.862,0.866,0.866,6899400,0.0
2022-12-23,0.864,0.867,0.843,0.851,0.851,9169500,0.0
2022-12-26,0.85,0.906,0.85,0.904,0.904,15748200,0.0
2022-12-27,0.906,0.929,0.903,0.926,0.926,7336800,0.0
2022-12-28,0.925,0.938,0.915,0.93,0.93,8146700,0.0
2022-12-29,0.93,0.936,0.922,0.925,0.925,5527800,0.0
2022-12-30,0.924,0.941,0.924,0.932,0.932,3122200,0.0
2023-01-03,0.93,0.944,0.912,0.941,0.941,4934300,0.0
2023-01-04,0.938,0.938,0.912,0.918,0.918,4002800,0.0
2023-01-05,0.927,0.939,0.917,0.931,0.931,5204000,0.0
2023-01-06,0.936,0.99,0.936,0.976,0.976,19118748,0.0
2023-01-09,0.976,0.992,0.967,0.976,0.976,6473300,0.0
2023-01-10,0.976,0.993,0.976,0.98,0.98,5258800,0.0
2023-01-11,0.98,0.985,0.969,0.969,0.969,2838400,0.0
2023-01-12,0.97,0.984,0.97,0.972,0.972,7310100,0.0
2023-01-13,0.973,0.981,0.962,0.97,0.97,6207100,0.0
2023-01-16,0.976,0.996,0.964,0.981,0.981,5140000,0.0
2023-01-17,0.981,0.991,0.974,0.984,0.984,5568500,0.0
2023-01-18,0.987,0.996,0.983,0.988,0.988,10670500,0.0
2023-01-19,0.982,0.987,0.978,0.987,0.987,5658700,0.0
2023-01-20,0.987,1.011,0.987,1.01,1.01,19927300,0.0
2023-01-30,1.012,1.034,1.012,1.016,1.016,20708400,0.0
2023-01-31,1.016,1.032,1.014,1.026,1.026,26061500,0.0
2023-02-01,1.022,1.03,1.004,1.021,1.021,8641900,0.0
2023-02-02,1.021,1.022,1.008,1.012,1.012,7507300,0.0
2023-02-03,1.012,1.016,0.981,0.995,0.995,9578400,0.0
2023-02-06,0.993,0.994,0.983,0.99,0.99,5650400,0.0
2023-02-07,0.99,0.998,0.981,0.987,0.987,8505200,0.0
2023-02-08,0.99,0.994,0.981,0.983,0.983,7805400,0.0
2023-02-09,0.983,0.998,0.974,0.994,0.994,7858252,0.0
2023-02-10,0.985,0.988,0.975,0.98,0.98,8856400,0.0
2023-02-13,0.976,0.986,0.976,0.98,0.98,8972100,0.0
2023-02-14,0.98,0.985,0.972,0.981,0.981,8028800,0.0
2023-02-15,0.982,0.99,0.971,0.975,0.975,9112300,0.0
2023-02-16,0.971,0.98,0.95,0.958,0.958,11321700,0.0
2023-02-17,0.957,0.959,0.934,0.935,0.935,13801000,0.0
2023-02-20,0.948,0.959,0.93,0.959,0.959,15783700,0.0
2023-02-21,0.959,0.978,0.955,0.972,0.972,18122200,0.0
2023-02-22,0.969,0.98,0.962,0.965,0.965,16679100,0.0
2023-02-23,0.973,0.993,0.965,0.99,0.99,24941800,0.0
2023-02-24,0.996,0.996,0.972,0.974,0.974,17391700,0.0
2023-02-27,0.974,0.994,0.964,0.975,0.975,19264000,0.0
2023-02-28,0.976,0.98,0.966,0.98,0.98,18128600,0.0
2023-03-01,0.978,0.978,0.964,0.97,0.97,25190500,0.0
2023-03-02,0.972,0.973,0.95,0.954,0.954,21721200,0.0
2023-03-03,0.954,0.961,0.95,0.957,0.957,19797700,0.0
2023-03-06,0.957,0.992,0.947,0.989,0.989,31677200,0.0
2023-03-07,0.989,0.992,0.978,0.981,0.981,21970900,0.0
2023-03-08,0.981,0.995,0.965,0.969,0.969,21398600,0.0
2023-03-09,0.968,0.975,0.962,0.963,0.963,22560400,0.0
2023-03-10,0.958,0.961,0.945,0.954,0.954,20927500,0.0
2023-03-13,0.954,0.965,0.949,0.953,0.953,21755300,0.0
2023-03-14,0.95,0.951,0.916,0.936,0.936,23370700,0.0
2023-03-15,0.936,0.952,0.929,0.932,0.932,21664200,0.0
2023-03-16,0.923,0.924,0.885,0.889,0.889,25575100,0.0
2023-03-17,0.895,0.897,0.878,0.883,0.883,22006400,0.0
2023-03-20,0.887,0.9,0.866,0.891,0.891,24420500,0.0
2023-03-21,0.889,0.896,0.879,0.896,0.896,24281600,0.0
2023-03-22,0.9,0.908,0.889,0.893,0.893,21750500,0.0
2023-03-23,0.895,0.895,0.883,0.887,0.887,20736000,0.0
2023-03-24,0.887,0.903,0.876,0.896,0.896,22832500,0.0
2023-03-27,0.892,0.918,0.889,0.915,0.915,22984500,0.0
2023-03-28,0.91,0.916,0.901,0.903,0.903,17320300,0.0
2023-03-29,0.911,0.917,0.9,0.905,0.905,22753800,0.0
2023-03-30,0.905,0.917,0.896,0.916,0.916,25706900,0.0
2023-03-31,0.916,0.93,0.913,0.914,0.914,23106300,0.0
2023-04-03,0.915,0.932,0.91,0.924,0.924,25760300,0.0
2023-04-04,0.924,0.924,0.894,0.904,0.904,25728200,0.0
2023-04-06,0.904,0.915,0.898,0.911,0.911,23401800,0.0
2023-04-07,0.91,0.918,0.906,0.908,0.908,18126100,0.0
2023-04-10,0.914,0.928,0.907,0.927,0.927,28526300,0.0
2023-04-11,0.927,0.932,0.912,0.922,0.922,22658400,0.0
2023-04-12,0.917,0.923,0.898,0.901,0.901,24177300,0.0
2023-04-13,0.906,0.911,0.895,0.898,0.898,21124900,0.0
2023-04-14,0.898,0.906,0.885,0.9,0.9,21729400,0.0
2023-04-17,0.9,0.914,0.9,0.905,0.905,24286600,0.0
2023-04-18,0.905,0.924,0.904,0.923,0.923,31360700,0.0
2023-04-19,0.921,0.921,0.904,0.906,0.906,23028400,0.0
2023-04-20,0.896,0.903,0.883,0.888,0.888,23537400,0.0
2023-04-21,0.885,0.902,0.88,0.882,0.882,25012100,0.0
2023-04-24,0.882,0.882,0.849,0.858,0.858,23490300,0.0
2023-04-25,0.859,0.871,0.832,0.835,0.835,23194900,0.0
2023-04-26,0.833,0.906,0.824,0.891,0.891,57540300,0.0
2023-04-27,0.89,0.89,0.868,0.878,0.878,31122800,0.0
2023-04-28,0.878,0.884,0.86,0.869,0.869,34335800,0.0
2023-05-04,0.866,0.885,0.858,0.866,0.866,28294400,0.0
2023-05-05,0.866,0.866,0.835,0.846,0.846,23280100,0.0
2023-05-08,0.849,0.86,0.838,0.854,0.854,18039300,0.0
2023-05-09,0.854,0.855,0.836,0.839,0.839,22833200,0.0
2023-05-10,0.835,0.852,0.826,0.844,0.844,24252200,0.0
2023-05-11,0.843,0.861,0.839,0.845,0.845,26598800,0.0
2023-05-12,0.844,0.845,0.826,0.827,0.827,27453900,0.0
2023-05-15,0.827,0.862,0.827,0.86,0.86,33716300,0.0
2023-05-16,0.859,0.875,0.853,0.859,0.859,26936100,0.0
2023-05-17,0.863,0.869,0.853,0.862,0.862,26355900,0.0
2023-05-18,0.862,0.863,0.843,0.848,0.848,31301800,0.0
2023-05-19,0.851,0.851,0.839,0.846,0.846,20871800,0.0
2023-05-22,0.847,0.855,0.841,0.85,0.85,22411500,0.0
2023-05-23,0.851,0.863,0.844,0.848,0.848,24998000,0.0
2023-05-24,0.848,0.874,0.843,0.863,0.863,31314600,0.0
2023-05-25,0.863,0.887,0.856,0.876,0.876,26584700,0.0
2023-05-26,0.873,0.873,0.843,0.852,0.852,24952200,0.0
2023-05-29,0.848,0.85,0.823,0.827,0.827,29790000,0.0
2023-05-30,0.824,0.834,0.809,0.818,0.818,32936400,0.0
2023-05-31,0.818,0.819,0.804,0.807,0.807,27358600,0.0
2023-06-01,0.806,0.815,0.797,0.801,0.801,30890700,0.0
2023-06-02,0.803,0.81,0.797,0.807,0.807,26834900,0.0
2023-06-05,0.81,0.81,0.785,0.788,0.788,20697400,0.0
2023-06-06,0.788,0.788,0.771,0.782,0.782,29905600,0.0
2023-06-07,0.781,0.781,0.763,0.768,0.768,24444900,0.0
2023-06-08,0.767,0.781,0.767,0.771,0.771,33041000,0.0
2023-06-09,0.769,0.778,0.762,0.778,0.778,30528900,0.0
2023-06-12,0.777,0.791,0.767,0.788,0.788,37078900,0.0
2023-06-13,0.782,0.792,0.779,0.784,0.784,30722500,0.0
2023-06-14,0.784,0.788,0.774,0.775,0.775,24813800,0.0
2023-06-15,0.775,0.823,0.771,0.821,0.821,48799000,0.0
2023-06-16,0.823,0.837,0.819,0.834,0.834,34250900,0.0
2023-06-19,0.834,0.837,0.823,0.832,0.832,23811100,0.0
2023-06-20,0.831,0.842,0.826,0.835,0.835,26936400,0.0
2023-06-21,0.833,0.848,0.825,0.826,0.826,26642100,0.0
2023-06-26,0.811,0.846,0.811,0.832,0.832,30477400,0.0
2023-06-27,0.832,0.856,0.832,0.839,0.839,30019400,0.0
2023-06-28,0.839,0.85,0.834,0.845,0.845,23431900,0.0
2023-06-29,0.845,0.861,0.84,0.842,0.842,26247900,0.0
2023-06-30,0.842,0.857,0.833,0.851,0.851,27605600,0.0
2023-07-03,0.851,0.864,0.849,0.851,0.851,26841200,0.0
2023-07-04,0.849,0.855,0.836,0.84,0.84,23143200,0.0
2023-07-05,0.839,0.842,0.825,0.827,0.827,24643300,0.0
2023-07-06,0.822,0.828,0.816,0.823,0.823,27796800,0.0
2023-07-07,0.822,0.822,0.805,0.808,0.808,27216100,0.0
2023-07-10,0.808,0.843,0.805,0.836,0.836,34169100,0.0
